sentence,attack_type,len_payload
-3752,1,5
02:00 AM,0,8
0,0,1
%21,1,3
%26,1,3
%28,1,3
%29,1,3
12:00 PM,0,8
1,0,1
2,0,1
3,0,1
4,0,1
5,0,1
6,0,1
7,0,1
8,0,1
9,0,1
10,0,2
11,0,2
12,0,2
13,0,2
14,0,2
15,0,2
16,0,2
17,0,2
18,0,2
19,0,2
20,0,2
21,0,2
22,0,2
23,0,2
24,0,2
25,0,2
26,0,2
27,0,2
28,0,2
29,0,2
30,0,2
31,0,2
32,0,2
33,0,2
34,0,2
35,0,2
36,0,2
37,0,2
38,0,2
39,0,2
40,0,2
41,0,2
42,0,2
43,0,2
44,0,2
45,0,2
46,0,2
47,0,2
48,0,2
49,0,2
50,0,2
51,0,2
52,0,2
53,0,2
54,0,2
55,0,2
56,0,2
57,0,2
58,0,2
59,0,2
60,0,2
61,0,2
62,0,2
63,0,2
64,0,2
65,0,2
66,0,2
67,0,2
68,0,2
69,0,2
70,0,2
71,0,2
72,0,2
73,0,2
74,0,2
75,0,2
76,0,2
77,0,2
78,0,2
79,0,2
80,0,2
81,0,2
82,0,2
83,0,2
84,0,2
85,0,2
86,0,2
87,0,2
88,0,2
89,0,2
90,0,2
91,0,2
92,0,2
93,0,2
94,0,2
95,0,2
96,0,2
97,0,2
98,0,2
100,0,3
108,0,3
116,0,3
119,0,3
121,0,3
172,0,3
173,0,3
178,0,3
197,0,3
201,0,3
207,0,3
211,0,3
252,0,3
277,0,3
280,0,3
289,0,3
292,0,3
297,0,3
303,0,3
312,0,3
317,0,3
318,0,3
326,0,3
349,0,3
357,0,3
364,0,3
368,0,3
372,0,3
378,0,3
389,0,3
433,0,3
450,0,3
469,0,3
503,0,3
522,0,3
535,0,3
540,0,3
544,0,3
546,0,3
571,0,3
576,0,3
586,0,3
606,0,3
607,0,3
618,0,3
620,0,3
651,0,3
668,0,3
676,0,3
688,0,3
695,0,3
703,0,3
712,0,3
724,0,3
725,0,3
730,0,3
750,0,3
766,0,3
784,0,3
786,0,3
812,0,3
815,0,3
847,0,3
859,0,3
870,0,3
898,0,3
911,0,3
913,0,3
919,0,3
928,0,3
946,0,3
958,0,3
964,0,3
972,0,3
973,0,3
978,0,3
991,0,3
993,0,3
1005,0,4
1006,0,4
1008,0,4
1084,0,4
1087,0,4
1096,0,4
1102,0,4
1103,0,4
1214,0,4
1221,0,4
1226,0,4
2626,0,4
2630,0,4
2633,0,4
2637,0,4
2639,0,4
2649,0,4
2651,0,4
6411,0,4
6424,0,4
6429,0,4
6432,0,4
6435,0,4
6440,0,4
